Operon,Orientation,Genes
>OP_AR0_RS08625,-,AR0_RS08625,AR0_RS08620,AR0_RS08615
>OP_AR0_RS08640,-,AR0_RS08640,AR0_RS08635
>OP_AR0_RS08660,-,AR0_RS08660,AR0_RS08655,AR0_RS08650,AR0_RS08645
>OP_AR0_RS08700,-,AR0_RS08700,AR0_RS08695,AR0_RS08690,AR0_RS08685,AR0_RS08680
>OP_AR0_RS08720,-,AR0_RS08720,AR0_RS08715,AR0_RS08710
>OP_AR0_RS08770,+,AR0_RS08770,AR0_RS08775
>OP_AR0_RS08780,+,AR0_RS08780,AR0_RS08785
>OP_AR0_RS08795,+,AR0_RS08795,AR0_RS08800
>OP_AR0_RS08870,-,AR0_RS08870,AR0_RS08865
>OP_AR0_RS08875,+,AR0_RS08875,AR0_RS08880,AR0_RS08885
>OP_AR0_RS08895,+,AR0_RS08895,AR0_RS08900
>OP_AR0_RS08950,+,AR0_RS08950,AR0_RS08955
>OP_AR0_RS08965,+,AR0_RS08965,AR0_RS08970,AR0_RS08975
>OP_AR0_RS08995,-,AR0_RS08995,AR0_RS08990
>OP_AR0_RS09020,-,AR0_RS09020,AR0_RS09015,AR0_RS09010
>OP_AR0_RS09025,+,AR0_RS09025,AR0_RS09030
>OP_AR0_RS09070,-,AR0_RS09070,AR0_RS09065
>OP_AR0_RS09085,+,AR0_RS09085,AR0_RS09090,AR0_RS09095
>OP_AR0_RS09115,-,AR0_RS09115,AR0_RS09110
>OP_AR0_RS09145,-,AR0_RS09145,AR0_RS09140
>OP_AR0_RS09195,-,AR0_RS09195,AR0_RS09190
>OP_AR0_RS09210,-,AR0_RS09210,AR0_RS09205,AR0_RS09200
>OP_AR0_RS09230,-,AR0_RS09230,AR0_RS09225
>OP_AR0_RS09245,+,AR0_RS09245,AR0_RS09250,AR0_RS09255
>OP_AR0_RS09275,-,AR0_RS09275,AR0_RS09270
>OP_AR0_RS09340,-,AR0_RS09340,AR0_RS09335
>OP_AR0_RS09345,+,AR0_RS09345,AR0_RS09350
>OP_AR0_RS09365,-,AR0_RS09365,AR0_RS09360
>OP_AR0_RS09380,-,AR0_RS09380,AR0_RS09375
>OP_AR0_RS09440,-,AR0_RS09440,AR0_RS09435,AR0_RS09430
>OP_AR0_RS09455,-,AR0_RS09455,AR0_RS09450,AR0_RS09445
>OP_AR0_RS09470,+,AR0_RS09470,AR0_RS09475,AR0_RS09480,AR0_RS09485,AR0_RS09490
>OP_AR0_RS09505,-,AR0_RS09505,AR0_RS09500,AR0_RS09495
>OP_AR0_RS09525,-,AR0_RS09525,AR0_RS09520,AR0_RS09515
>OP_AR0_RS09560,-,AR0_RS09560,AR0_RS09555
>OP_AR0_RS09575,-,AR0_RS09575,AR0_RS09570
>OP_AR0_RS09590,-,AR0_RS09590,AR0_RS15270
>OP_AR0_RS09605,-,AR0_RS09605,AR0_RS09600,AR0_RS09595
>OP_AR0_RS09640,-,AR0_RS09640,AR0_RS09635,AR0_RS09630,AR0_RS09625,AR0_RS09620
>OP_AR0_RS09650,+,AR0_RS09650,AR0_RS09655
>OP_AR0_RS09675,+,AR0_RS09675,AR0_RS09680
>OP_AR0_RS09690,-,AR0_RS09690,AR0_RS09685
>OP_AR0_RS09700,-,AR0_RS09700,AR0_RS09695
>OP_AR0_RS09740,-,AR0_RS09740,AR0_RS09735,AR0_RS09730,AR0_RS09725,AR0_RS09720
>OP_AR0_RS09750,-,AR0_RS09750,AR0_RS09745
>OP_AR0_RS09755,+,AR0_RS09755,AR0_RS15275
>OP_AR0_RS09765,+,AR0_RS09765,AR0_RS09770,AR0_RS09775
>OP_AR0_RS09825,-,AR0_RS09825,AR0_RS09820,AR0_RS09815,AR0_RS09810,AR0_RS09805
>OP_AR0_RS09845,+,AR0_RS09845,AR0_RS09850
>OP_AR0_RS09865,-,AR0_RS09865,AR0_RS09860
>OP_AR0_RS09885,-,AR0_RS09885,AR0_RS09880,AR0_RS09875
>OP_AR0_RS09905,+,AR0_RS09905,AR0_RS09910
>OP_AR0_RS09940,-,AR0_RS09940,AR0_RS09935,AR0_RS09930
>OP_AR0_RS09985,-,AR0_RS09985,AR0_RS09980,AR0_RS09975
>OP_AR0_RS10030,-,AR0_RS10030,AR0_RS10025,AR0_RS10020
>OP_AR0_RS10070,-,AR0_RS10070,AR0_RS10065,AR0_RS10060
>OP_AR0_RS10110,-,AR0_RS10110,AR0_RS10105,AR0_RS10100,AR0_RS10095,AR0_RS10090,AR0_RS10085,AR0_RS10080,AR0_RS10075
>OP_AR0_RS10125,-,AR0_RS10125,AR0_RS10120
>OP_AR0_RS10155,+,AR0_RS10155,AR0_RS10160
>OP_AR0_RS10170,+,AR0_RS10170,AR0_RS10175
>OP_AR0_RS10230,-,AR0_RS10230,AR0_RS10225
>OP_AR0_RS10250,-,AR0_RS10250,AR0_RS10245,AR0_RS10240
>OP_AR0_RS10270,-,AR0_RS10270,AR0_RS10265
>OP_AR0_RS10285,+,AR0_RS10285,AR0_RS10290,AR0_RS10295,AR0_RS10300
>OP_AR0_RS10370,-,AR0_RS10370,AR0_RS10365
>OP_AR0_RS10380,+,AR0_RS10380,AR0_RS10385
>OP_AR0_RS10410,-,AR0_RS10410,AR0_RS10405
>OP_AR0_RS10415,+,AR0_RS10415,AR0_RS10420
>OP_AR0_RS10435,+,AR0_RS10435,AR0_RS10440
>OP_AR0_RS10505,-,AR0_RS10505,AR0_RS10500,AR0_RS10495
>OP_AR0_RS10510,+,AR0_RS10510,AR0_RS10515
>OP_AR0_RS10555,-,AR0_RS10555,AR0_RS10550,AR0_RS10545
>OP_AR0_RS10575,+,AR0_RS10575,AR0_RS10580,AR0_RS10585
>OP_AR0_RS10605,-,AR0_RS10605,AR0_RS10600
>OP_AR0_RS10625,+,AR0_RS10625,AR0_RS10630
>OP_AR0_RS14980,-,AR0_RS14980,AR0_RS14975,AR0_RS14970
>OP_AR0_RS10680,+,AR0_RS10680,AR0_RS10685
>OP_AR0_RS10705,-,AR0_RS10705,AR0_RS10700
>OP_AR0_RS10720,-,AR0_RS10720,AR0_RS10715
>OP_AR0_RS10730,+,AR0_RS10730,AR0_RS10735
>OP_AR0_RS10750,-,AR0_RS10750,AR0_RS10745
>OP_AR0_RS10760,-,AR0_RS10760,AR0_RS10755
>OP_AR0_RS10785,-,AR0_RS10785,AR0_RS10780,AR0_RS10775,AR0_RS10770,AR0_RS10765
>OP_AR0_RS10795,-,AR0_RS10795,AR0_RS10790
>OP_AR0_RS10815,-,AR0_RS10815,AR0_RS10810
>OP_AR0_RS10835,-,AR0_RS10835,AR0_RS15295,AR0_RS15290
>OP_AR0_RS10845,+,AR0_RS10845,AR0_RS10850
>OP_AR0_RS10865,-,AR0_RS10865,AR0_RS10860,AR0_RS10855
>OP_AR0_RS10875,+,AR0_RS10875,AR0_RS10880,AR0_RS10885
>OP_AR0_RS10905,-,AR0_RS10905,AR0_RS10900,AR0_RS10895
>OP_AR0_RS10920,-,AR0_RS10920,AR0_RS10915
>OP_AR0_RS10930,+,AR0_RS10930,AR0_RS10935,AR0_RS10940,AR0_RS10945
>OP_AR0_RS11030,-,AR0_RS11030,AR0_RS11025,AR0_RS11020
>OP_AR0_RS11070,-,AR0_RS11070,AR0_RS11065,AR0_RS11060,AR0_RS11055,AR0_RS11050
>OP_AR0_RS11085,-,AR0_RS11085,AR0_RS11080,AR0_RS11075
>OP_AR0_RS11160,+,AR0_RS11160,AR0_RS11165
>OP_AR0_RS11195,-,AR0_RS11195,AR0_RS11190
>OP_AR0_RS11220,-,AR0_RS11220,AR0_RS11215
>OP_AR0_RS11235,+,AR0_RS11235,AR0_RS11240,AR0_RS11245
>OP_AR0_RS11255,-,AR0_RS11255,AR0_RS11250
>OP_AR0_RS11270,-,AR0_RS11270,AR0_RS11265
>OP_AR0_RS11275,+,AR0_RS11275,AR0_RS11280,AR0_RS11285,AR0_RS11290
>OP_AR0_RS11310,-,AR0_RS11310,AR0_RS11305,AR0_RS11300,AR0_RS11295
>OP_AR0_RS11325,-,AR0_RS11325,AR0_RS11320
>OP_AR0_RS11335,+,AR0_RS11335,AR0_RS11340,AR0_RS11345,AR0_RS11350
>OP_AR0_RS11375,-,AR0_RS11375,AR0_RS11370
>OP_AR0_RS11390,+,AR0_RS11390,AR0_RS11395,AR0_RS11400
>OP_AR0_RS11460,+,AR0_RS11460,AR0_RS11465
>OP_AR0_RS11475,-,AR0_RS11475,AR0_RS11470,AR0_RS15300
>OP_AR0_RS11505,-,AR0_RS11505,AR0_RS11500,AR0_RS11495,AR0_RS11490,AR0_RS11485
>OP_AR0_RS11550,+,AR0_RS11550,AR0_RS11555
>OP_AR0_RS11565,-,AR0_RS11565,AR0_RS11560
>OP_AR0_RS11625,-,AR0_RS11625,AR0_RS11620,AR0_RS11615
>OP_AR0_RS11665,+,AR0_RS11665,AR0_RS11670
>OP_AR0_RS11680,+,AR0_RS11680,AR0_RS11685
>OP_AR0_RS11695,+,AR0_RS11695,AR0_RS11700
>OP_AR0_RS15325,+,AR0_RS15325,AR0_RS11755
>OP_AR0_RS11790,+,AR0_RS11790,AR0_RS11795
>OP_AR0_RS11805,-,AR0_RS11805,AR0_RS11800
>OP_AR0_RS11820,-,AR0_RS11820,AR0_RS11815
>OP_AR0_RS11855,-,AR0_RS11855,AR0_RS11850
>OP_AR0_RS11900,-,AR0_RS11900,AR0_RS11895,AR0_RS11890,AR0_RS11885,AR0_RS11880
>OP_AR0_RS11905,+,AR0_RS11905,AR0_RS11910
>OP_AR0_RS11960,-,AR0_RS11960,AR0_RS11955
>OP_AR0_RS11995,-,AR0_RS11995,AR0_RS11990
>OP_AR0_RS12020,+,AR0_RS12020,AR0_RS12025,AR0_RS12030
>OP_AR0_RS12050,-,AR0_RS12050,AR0_RS12045
>OP_AR0_RS12070,+,AR0_RS12070,AR0_RS12075
>OP_AR0_RS12150,-,AR0_RS12150,AR0_RS12145
>OP_AR0_RS12205,-,AR0_RS12205,AR0_RS12200,AR0_RS12195
>OP_AR0_RS12285,-,AR0_RS12285,AR0_RS12280,AR0_RS12275
>OP_AR0_RS12310,-,AR0_RS12310,AR0_RS12305
>OP_AR0_RS12340,-,AR0_RS12340,AR0_RS12335,AR0_RS12330
>OP_AR0_RS12370,+,AR0_RS12370,AR0_RS12375
>OP_AR0_RS12385,-,AR0_RS12385,AR0_RS12380
>OP_AR0_RS12400,-,AR0_RS12400,AR0_RS12395,AR0_RS12390
>OP_AR0_RS12405,+,AR0_RS12405,AR0_RS12410,AR0_RS12415
>OP_AR0_RS12445,-,AR0_RS12445,AR0_RS12440,AR0_RS12435,AR0_RS12430,AR0_RS12425
>OP_AR0_RS12460,-,AR0_RS12460,AR0_RS12455
>OP_AR0_RS12490,-,AR0_RS12490,AR0_RS12485
>OP_AR0_RS12495,+,AR0_RS12495,AR0_RS12500,AR0_RS12505
>OP_AR0_RS12520,+,AR0_RS12520,AR0_RS12525
>OP_AR0_RS12555,+,AR0_RS12555,AR0_RS12560,AR0_RS12565
>OP_AR0_RS12580,+,AR0_RS12580,AR0_RS12585,AR0_RS12590,AR0_RS12595
>OP_AR0_RS12605,-,AR0_RS12605,AR0_RS12600
>OP_AR0_RS12615,-,AR0_RS12615,AR0_RS12610
>OP_AR0_RS12640,-,AR0_RS12640,AR0_RS12635,AR0_RS12630
>OP_AR0_RS12655,-,AR0_RS12655,AR0_RS12650,AR0_RS12645
>OP_AR0_RS12660,+,AR0_RS12660,AR0_RS12665,AR0_RS12670
>OP_AR0_RS12680,-,AR0_RS12680,AR0_RS12675
>OP_AR0_RS12690,+,AR0_RS12690,AR0_RS12695,AR0_RS12700
>OP_AR0_RS12730,-,AR0_RS12730,AR0_RS12725,AR0_RS12720
>OP_AR0_RS12735,+,AR0_RS12735,AR0_RS12740
>OP_AR0_RS12750,+,AR0_RS12750,AR0_RS12755
>OP_AR0_RS12775,+,AR0_RS12775,AR0_RS12780
>OP_AR0_RS15350,+,AR0_RS15350,AR0_RS12790
>OP_AR0_RS12890,-,AR0_RS12890,AR0_RS12885,AR0_RS12880,AR0_RS12875,AR0_RS12870,AR0_RS12865,AR0_RS12860,AR0_RS12855,AR0_RS12850,AR0_RS12845
>OP_AR0_RS12905,-,AR0_RS12905,AR0_RS12900,AR0_RS12895
>OP_AR0_RS12935,-,AR0_RS12935,AR0_RS12930,AR0_RS12925,AR0_RS12920,AR0_RS12915
>OP_AR0_RS14995,-,AR0_RS14995,AR0_RS12940
>OP_AR0_RS12960,+,AR0_RS12960,AR0_RS12965
>OP_AR0_RS13005,-,AR0_RS13005,AR0_RS13000,AR0_RS12995,AR0_RS12990
>OP_AR0_RS13030,-,AR0_RS13030,AR0_RS13025,AR0_RS13020,AR0_RS13015,AR0_RS13010
>OP_AR0_RS13045,+,AR0_RS13045,AR0_RS13050,AR0_RS13055,AR0_RS13060,AR0_RS13065,AR0_RS13070
>OP_AR0_RS13080,-,AR0_RS13080,AR0_RS13075
>OP_AR0_RS13090,-,AR0_RS13090,AR0_RS13085
>OP_AR0_RS13095,+,AR0_RS13095,AR0_RS13100,AR0_RS13105,AR0_RS13110
>OP_AR0_RS13115,-,AR0_RS13115,AR0_RS15360
>OP_AR0_RS13140,-,AR0_RS13140,AR0_RS13135,AR0_RS13130,AR0_RS13125
>OP_AR0_RS13145,+,AR0_RS13145,AR0_RS13150,AR0_RS13155
>OP_AR0_RS13165,-,AR0_RS13165,AR0_RS13160,AR0_RS15365
>OP_AR0_RS13185,-,AR0_RS13185,AR0_RS13180
>OP_AR0_RS13195,-,AR0_RS13195,AR0_RS13190
>OP_AR0_RS13205,+,AR0_RS13205,AR0_RS13210
>OP_AR0_RS13235,-,AR0_RS13235,AR0_RS13230
>OP_AR0_RS13265,-,AR0_RS13265,AR0_RS13260
>OP_AR0_RS13275,+,AR0_RS13275,AR0_RS13280,AR0_RS13285,AR0_RS13290
>OP_AR0_RS13300,-,AR0_RS13300,AR0_RS13295
>OP_AR0_RS13315,+,AR0_RS13315,AR0_RS13320
>OP_AR0_RS13335,+,AR0_RS13335,AR0_RS13340
>OP_AR0_RS13355,-,AR0_RS13355,AR0_RS13350
>OP_AR0_RS13365,-,AR0_RS13365,AR0_RS13360
>OP_AR0_RS13410,-,AR0_RS13410,AR0_RS13405
>OP_AR0_RS13425,-,AR0_RS13425,AR0_RS13420,AR0_RS13415
>OP_AR0_RS13430,-,AR0_RS13430,AR0_RS15385
>OP_AR0_RS13465,-,AR0_RS13465,AR0_RS13460,AR0_RS13455
>OP_AR0_RS13475,-,AR0_RS13475,AR0_RS13470
>OP_AR0_RS13505,-,AR0_RS13505,AR0_RS13500,AR0_RS13495
>OP_AR0_RS13515,-,AR0_RS13515,AR0_RS13510
>OP_AR0_RS13535,-,AR0_RS13535,AR0_RS13530,AR0_RS15390,AR0_RS13525,AR0_RS13520
>OP_AR0_RS13565,+,AR0_RS13565,AR0_RS13570,AR0_RS13575
>OP_AR0_RS13665,+,AR0_RS13665,AR0_RS13670
>OP_AR0_RS13680,+,AR0_RS13680,AR0_RS13685
>OP_AR0_RS13695,+,AR0_RS13695,AR0_RS13700
>OP_AR0_RS13715,+,AR0_RS13715,AR0_RS13720,AR0_RS13725,AR0_RS13730,AR0_RS13735
>OP_AR0_RS13745,-,AR0_RS13745,AR0_RS13740
>OP_AR0_RS13765,-,AR0_RS13765,AR0_RS13760,AR0_RS13755
>OP_AR0_RS13795,-,AR0_RS13795,AR0_RS13790,AR0_RS13785
>OP_AR0_RS13810,-,AR0_RS13810,AR0_RS13805
>OP_AR0_RS13845,-,AR0_RS13845,AR0_RS13840,AR0_RS13835
>OP_AR0_RS13850,+,AR0_RS13850,AR0_RS13855,AR0_RS13860
>OP_AR0_RS13875,-,AR0_RS13875,AR0_RS13870
>OP_AR0_RS13920,-,AR0_RS13920,AR0_RS13915
>OP_AR0_RS13940,+,AR0_RS13940,AR0_RS13945,AR0_RS13950,AR0_RS13955,AR0_RS13960
>OP_AR0_RS13965,+,AR0_RS13965,AR0_RS13970
>OP_AR0_RS14005,-,AR0_RS14005,AR0_RS14000
>OP_AR0_RS14075,-,AR0_RS14075,AR0_RS14070
>OP_AR0_RS14105,-,AR0_RS14105,AR0_RS14100
>OP_AR0_RS14215,-,AR0_RS14215,AR0_RS15400
>OP_AR0_RS14240,-,AR0_RS14240,AR0_RS14235
>OP_AR0_RS14255,-,AR0_RS14255,AR0_RS14250,AR0_RS14245
>OP_AR0_RS14265,+,AR0_RS14265,AR0_RS14270,AR0_RS14275
>OP_AR0_RS14300,-,AR0_RS14300,AR0_RS14295,AR0_RS14290,AR0_RS14285,AR0_RS14280
>OP_AR0_RS14350,-,AR0_RS14350,AR0_RS14345
>OP_AR0_RS14440,-,AR0_RS14440,AR0_RS14435,AR0_RS14430
>OP_AR0_RS14450,+,AR0_RS14450,AR0_RS14455
>OP_AR0_RS15410,-,AR0_RS15410,AR0_RS14465
>OP_AR0_RS14485,+,AR0_RS14485,AR0_RS14490,AR0_RS14495,AR0_RS14500,AR0_RS14505,AR0_RS14510
>OP_AR0_RS14520,-,AR0_RS14520,AR0_RS14515
>OP_AR0_RS14525,+,AR0_RS14525,AR0_RS14530,AR0_RS14535
>OP_AR0_RS14560,+,AR0_RS14560,AR0_RS14565
>OP_AR0_RS14610,-,AR0_RS14610,AR0_RS14605
>OP_AR0_RS14625,+,AR0_RS14625,AR0_RS14630,AR0_RS14635,AR0_RS14640
>OP_AR0_RS14670,+,AR0_RS14670,AR0_RS14675
>OP_AR0_RS14685,+,AR0_RS14685,AR0_RS14690
>OP_AR0_RS14725,-,AR0_RS14725,AR0_RS14720,AR0_RS14715,AR0_RS14710
>OP_AR0_RS14730,+,AR0_RS14730,AR0_RS14735
>OP_AR0_RS14755,+,AR0_RS14755,AR0_RS14760
>OP_AR0_RS14770,-,AR0_RS14770,AR0_RS14765
>OP_AR0_RS14795,-,AR0_RS14795,AR0_RS14790,AR0_RS15420
