Operon,Orientation,Genes
>OP_CpT1_RS08570,-,CpT1_RS08570,CpT1_RS08565,CpT1_RS08560,CpT1_RS08555
>OP_CpT1_RS08625,+,CpT1_RS08625,CpT1_RS08630
>OP_CpT1_RS08650,-,CpT1_RS08650,CpT1_RS08645,CpT1_RS08640
>OP_CpT1_RS08660,-,CpT1_RS08660,CpT1_RS08655
>OP_CpT1_RS08685,-,CpT1_RS08685,CpT1_RS08680,CpT1_RS08675
>OP_CpT1_RS08695,+,CpT1_RS08695,CpT1_RS08700
>OP_CpT1_RS08710,-,CpT1_RS08710,CpT1_RS08705
>OP_CpT1_RS08715,+,CpT1_RS08715,CpT1_RS08720
>OP_CpT1_RS10750,-,CpT1_RS10750,CpT1_RS08740
>OP_CpT1_RS08760,+,CpT1_RS08760,CpT1_RS08765,CpT1_RS08770,CpT1_RS08775
>OP_CpT1_RS08795,-,CpT1_RS08795,CpT1_RS08790
>OP_CpT1_RS08810,-,CpT1_RS08810,CpT1_RS08805,CpT1_RS08800
>OP_CpT1_RS08825,-,CpT1_RS08825,CpT1_RS08820
>OP_CpT1_RS08855,-,CpT1_RS08855,CpT1_RS10760,CpT1_RS08850
>OP_CpT1_RS08870,-,CpT1_RS08870,CpT1_RS08865
>OP_CpT1_RS08890,+,CpT1_RS08890,CpT1_RS08895
>OP_CpT1_RS08910,-,CpT1_RS08910,CpT1_RS08905
>OP_CpT1_RS08975,-,CpT1_RS08975,CpT1_RS08970,CpT1_RS08965,CpT1_RS08960,CpT1_RS08955,CpT1_RS08950,CpT1_RS08945,CpT1_RS08940,CpT1_RS08935,CpT1_RS08930,CpT1_RS08925,CpT1_RS08920
>OP_CpT1_RS08980,+,CpT1_RS08980,CpT1_RS08985
>OP_CpT1_RS10765,+,CpT1_RS10765,CpT1_RS08995,CpT1_RS09000,CpT1_RS09005
>OP_CpT1_RS09050,+,CpT1_RS09050,CpT1_RS09055,CpT1_RS09060,CpT1_RS09065,CpT1_RS09070,CpT1_RS09075,CpT1_RS09080
>OP_CpT1_RS09095,-,CpT1_RS09095,CpT1_RS09090,CpT1_RS09085
>OP_CpT1_RS09100,+,CpT1_RS09100,CpT1_RS09105,CpT1_RS09110,CpT1_RS09115
>OP_CpT1_RS09130,-,CpT1_RS09130,CpT1_RS09125,CpT1_RS09120
>OP_CpT1_RS09135,+,CpT1_RS09135,CpT1_RS09140,CpT1_RS09145
>OP_CpT1_RS09155,-,CpT1_RS09155,CpT1_RS09150
>OP_CpT1_RS09160,+,CpT1_RS09160,CpT1_RS09165
>OP_CpT1_RS09190,+,CpT1_RS09190,CpT1_RS09195,CpT1_RS09200
>OP_CpT1_RS09230,-,CpT1_RS09230,CpT1_RS09225,CpT1_RS09220,CpT1_RS09215,CpT1_RS09210,CpT1_RS09205
>OP_CpT1_RS09280,-,CpT1_RS09280,CpT1_RS09275,CpT1_RS09270,CpT1_RS09265
>OP_CpT1_RS09315,-,CpT1_RS09315,CpT1_RS09310,CpT1_RS09305,CpT1_RS09300
>OP_CpT1_RS09340,-,CpT1_RS09340,CpT1_RS09335
>OP_CpT1_RS09360,+,CpT1_RS09360,CpT1_RS09365
>OP_CpT1_RS09390,+,CpT1_RS09390,CpT1_RS09395
>OP_CpT1_RS09415,-,CpT1_RS09415,CpT1_RS09410,CpT1_RS09405
>OP_CpT1_RS09425,+,CpT1_RS09425,CpT1_RS09430
>OP_CpT1_RS09460,-,CpT1_RS09460,CpT1_RS09455
>OP_CpT1_RS09470,-,CpT1_RS09470,CpT1_RS09465
>OP_CpT1_RS09485,-,CpT1_RS09485,CpT1_RS09480,CpT1_RS09475
>OP_CpT1_RS09505,-,CpT1_RS09505,CpT1_RS09500,CpT1_RS09495
>OP_CpT1_RS09550,-,CpT1_RS09550,CpT1_RS09545,CpT1_RS09540,CpT1_RS09535
>OP_CpT1_RS09570,-,CpT1_RS09570,CpT1_RS09565,CpT1_RS09560,CpT1_RS09555
>OP_CpT1_RS09585,-,CpT1_RS09585,CpT1_RS09580
>OP_CpT1_RS10780,+,CpT1_RS10780,CpT1_RS09595,CpT1_RS09600,CpT1_RS09605
>OP_CpT1_RS09630,-,CpT1_RS09630,CpT1_RS09625,CpT1_RS09620,CpT1_RS09615,CpT1_RS09610
>OP_CpT1_RS09655,+,CpT1_RS09655,CpT1_RS09660
>OP_CpT1_RS09670,+,CpT1_RS09670,CpT1_RS10785
>OP_CpT1_RS09690,+,CpT1_RS09690,CpT1_RS09695,CpT1_RS09700,CpT1_RS09705,CpT1_RS09710
>OP_CpT1_RS09730,-,CpT1_RS09730,CpT1_RS09725
>OP_CpT1_RS09750,-,CpT1_RS09750,CpT1_RS09745,CpT1_RS09740
>OP_CpT1_RS09760,-,CpT1_RS09760,CpT1_RS09755
>OP_CpT1_RS09825,-,CpT1_RS09825,CpT1_RS09820,CpT1_RS09815
>OP_CpT1_RS09845,-,CpT1_RS09845,CpT1_RS09840
>OP_CpT1_RS09850,+,CpT1_RS09850,CpT1_RS09855,CpT1_RS09860
>OP_CpT1_RS09870,-,CpT1_RS09870,CpT1_RS09865
>OP_CpT1_RS09875,+,CpT1_RS09875,CpT1_RS09880
>OP_CpT1_RS09895,-,CpT1_RS09895,CpT1_RS09890
>OP_CpT1_RS09920,-,CpT1_RS09920,CpT1_RS09915
>OP_CpT1_RS09965,+,CpT1_RS09965,CpT1_RS09970
>OP_CpT1_RS10070,-,CpT1_RS10070,CpT1_RS10065,CpT1_RS10060
>OP_CpT1_RS10135,-,CpT1_RS10135,CpT1_RS10130
>OP_CpT1_RS10160,+,CpT1_RS10160,CpT1_RS10165
>OP_CpT1_RS10185,+,CpT1_RS10185,CpT1_RS10190
>OP_CpT1_RS10215,-,CpT1_RS10215,CpT1_RS10210
>OP_CpT1_RS10225,-,CpT1_RS10225,CpT1_RS10220
>OP_CpT1_RS10230,+,CpT1_RS10230,CpT1_RS10235
>OP_CpT1_RS10265,-,CpT1_RS10265,CpT1_RS10260,CpT1_RS10255,CpT1_RS10250,CpT1_RS10245
>OP_CpT1_RS10275,+,CpT1_RS10275,CpT1_RS10280,CpT1_RS10285,CpT1_RS10290
>OP_CpT1_RS10350,+,CpT1_RS10350,CpT1_RS10355
>OP_CpT1_RS10365,+,CpT1_RS10365,CpT1_RS10370,CpT1_RS10375,CpT1_RS10380
>OP_CpT1_RS10390,+,CpT1_RS10390,CpT1_RS10395
>OP_CpT1_RS10405,+,CpT1_RS10405,CpT1_RS10410
>OP_CpT1_RS10420,-,CpT1_RS10420,CpT1_RS10415
>OP_CpT1_RS10430,-,CpT1_RS10430,CpT1_RS10425
>OP_CpT1_RS10435,+,CpT1_RS10435,CpT1_RS10440
>OP_CpT1_RS10480,-,CpT1_RS10480,CpT1_RS10475
