Operon,Orientation,Genes
>OP_WA5_RS08425,+,WA5_RS08425,WA5_RS08430
>OP_WA5_RS08445,+,WA5_RS08445,WA5_RS08450
>OP_WA5_RS08455,+,WA5_RS08455,WA5_RS08460,WA5_RS08465,WA5_RS08470
>OP_WA5_RS08520,+,WA5_RS08520,WA5_RS08525
>OP_WA5_RS08545,+,WA5_RS08545,WA5_RS08550
>OP_WA5_RS08565,+,WA5_RS08565,WA5_RS08570
>OP_WA5_RS08590,+,WA5_RS08590,WA5_RS08595
>OP_WA5_RS08605,+,WA5_RS08605,WA5_RS08610
>OP_WA5_RS15755,+,WA5_RS15755,WA5_RS08615
>OP_WA5_RS08630,+,WA5_RS08630,WA5_RS08635
>OP_WA5_RS08650,-,WA5_RS08650,WA5_RS08645
>OP_WA5_RS08675,+,WA5_RS08675,WA5_RS08680
>OP_WA5_RS08700,+,WA5_RS08700,WA5_RS08705
>OP_WA5_RS08715,+,WA5_RS08715,WA5_RS08720,WA5_RS08725,WA5_RS08730,WA5_RS08735
>OP_WA5_RS08775,+,WA5_RS08775,WA5_RS08780,WA5_RS08785
>OP_WA5_RS08800,+,WA5_RS08800,WA5_RS08805
>OP_WA5_RS08810,+,WA5_RS08810,WA5_RS08815,WA5_RS08820,WA5_RS08825
>OP_WA5_RS08835,-,WA5_RS08835,WA5_RS08830
>OP_WA5_RS08845,-,WA5_RS08845,WA5_RS08840
>OP_WA5_RS08850,+,WA5_RS08850,WA5_RS08855,WA5_RS08860
>OP_WA5_RS08925,-,WA5_RS08925,WA5_RS08920
>OP_WA5_RS08955,-,WA5_RS08955,WA5_RS08950
>OP_WA5_RS08965,-,WA5_RS08965,WA5_RS08960
>OP_WA5_RS08975,-,WA5_RS08975,WA5_RS08970
>OP_WA5_RS09005,-,WA5_RS09005,WA5_RS09000
>OP_WA5_RS09060,-,WA5_RS09060,WA5_RS09055
>OP_WA5_RS09125,+,WA5_RS09125,WA5_RS09130
>OP_WA5_RS09155,-,WA5_RS09155,WA5_RS09150
>OP_WA5_RS09165,-,WA5_RS09165,WA5_RS09160
>OP_WA5_RS15770,-,WA5_RS15770,WA5_RS09200
>OP_WA5_RS09230,-,WA5_RS09230,WA5_RS09225,WA5_RS09220
>OP_WA5_RS09245,+,WA5_RS09245,WA5_RS09250
>OP_WA5_RS09285,+,WA5_RS09285,WA5_RS09290
>OP_WA5_RS09305,+,WA5_RS09305,WA5_RS09310,WA5_RS09315
>OP_WA5_RS09325,+,WA5_RS09325,WA5_RS09330
>OP_WA5_RS09350,+,WA5_RS09350,WA5_RS09355,WA5_RS09360
>OP_WA5_RS09380,-,WA5_RS09380,WA5_RS15780,WA5_RS15775
>OP_WA5_RS15785,-,WA5_RS15785,WA5_RS09400
>OP_WA5_RS09425,+,WA5_RS09425,WA5_RS09430,WA5_RS09435
>OP_WA5_RS09440,+,WA5_RS09440,WA5_RS09445
>OP_WA5_RS09450,+,WA5_RS09450,WA5_RS09455
>OP_WA5_RS09465,+,WA5_RS09465,WA5_RS09470
>OP_WA5_RS09540,-,WA5_RS09540,WA5_RS09535
>OP_WA5_RS09545,+,WA5_RS09545,WA5_RS09550,WA5_RS09555
>OP_WA5_RS09565,+,WA5_RS09565,WA5_RS09570
>OP_WA5_RS09620,+,WA5_RS09620,WA5_RS09625
>OP_WA5_RS09635,+,WA5_RS09635,WA5_RS09640,WA5_RS09645
>OP_WA5_RS09665,-,WA5_RS09665,WA5_RS09660
>OP_WA5_RS09690,-,WA5_RS09690,WA5_RS09685,WA5_RS09680
>OP_WA5_RS09695,+,WA5_RS09695,WA5_RS09700
>OP_WA5_RS09740,-,WA5_RS09740,WA5_RS09735
>OP_WA5_RS09755,+,WA5_RS09755,WA5_RS09760,WA5_RS09765
>OP_WA5_RS09785,-,WA5_RS09785,WA5_RS09780
>OP_WA5_RS09820,-,WA5_RS09820,WA5_RS09815
>OP_WA5_RS09870,-,WA5_RS09870,WA5_RS09865
>OP_WA5_RS09885,-,WA5_RS09885,WA5_RS09880,WA5_RS09875
>OP_WA5_RS09905,-,WA5_RS09905,WA5_RS09900
>OP_WA5_RS09920,+,WA5_RS09920,WA5_RS09925,WA5_RS09930
>OP_WA5_RS09950,-,WA5_RS09950,WA5_RS09945
>OP_WA5_RS10015,-,WA5_RS10015,WA5_RS10010
>OP_WA5_RS10020,+,WA5_RS10020,WA5_RS10025
>OP_WA5_RS10040,-,WA5_RS10040,WA5_RS10035
>OP_WA5_RS10055,-,WA5_RS10055,WA5_RS10050
>OP_WA5_RS10115,-,WA5_RS10115,WA5_RS10110,WA5_RS10105
>OP_WA5_RS10130,-,WA5_RS10130,WA5_RS10125,WA5_RS10120
>OP_WA5_RS10145,+,WA5_RS10145,WA5_RS10150,WA5_RS10155,WA5_RS10160,WA5_RS10165
>OP_WA5_RS10180,-,WA5_RS10180,WA5_RS10175,WA5_RS10170
>OP_WA5_RS10200,-,WA5_RS10200,WA5_RS10195,WA5_RS10190
>OP_WA5_RS10235,-,WA5_RS10235,WA5_RS10230
>OP_WA5_RS10250,-,WA5_RS10250,WA5_RS10245
>OP_WA5_RS10280,-,WA5_RS10280,WA5_RS10275,WA5_RS10270
>OP_WA5_RS10315,-,WA5_RS10315,WA5_RS10310,WA5_RS10305,WA5_RS10300,WA5_RS10295
>OP_WA5_RS10325,+,WA5_RS10325,WA5_RS10330
>OP_WA5_RS10350,+,WA5_RS10350,WA5_RS10355
>OP_WA5_RS10375,-,WA5_RS10375,WA5_RS10370
>OP_WA5_RS15795,-,WA5_RS15795,WA5_RS10410,WA5_RS10405,WA5_RS10400,WA5_RS10395
>OP_WA5_RS10445,-,WA5_RS10445,WA5_RS10440,WA5_RS10435,WA5_RS10430,WA5_RS10425
>OP_WA5_RS10465,+,WA5_RS10465,WA5_RS10470
>OP_WA5_RS10485,-,WA5_RS10485,WA5_RS10480
>OP_WA5_RS10505,-,WA5_RS10505,WA5_RS10500,WA5_RS10495
>OP_WA5_RS10525,+,WA5_RS10525,WA5_RS10530
>OP_WA5_RS10555,-,WA5_RS10555,WA5_RS10550
>OP_WA5_RS10595,+,WA5_RS10595,WA5_RS10600
>OP_WA5_RS10615,-,WA5_RS10615,WA5_RS10610
>OP_WA5_RS10630,-,WA5_RS10630,WA5_RS10625,WA5_RS10620
>OP_WA5_RS10675,-,WA5_RS10675,WA5_RS10670,WA5_RS10665
>OP_WA5_RS10715,-,WA5_RS10715,WA5_RS10710,WA5_RS10705
>OP_WA5_RS10755,-,WA5_RS10755,WA5_RS10750,WA5_RS10745,WA5_RS10740,WA5_RS10735,WA5_RS10730,WA5_RS10725,WA5_RS10720
>OP_WA5_RS10770,-,WA5_RS10770,WA5_RS10765
>OP_WA5_RS10800,+,WA5_RS10800,WA5_RS10805
>OP_WA5_RS10815,+,WA5_RS10815,WA5_RS10820
>OP_WA5_RS10875,-,WA5_RS10875,WA5_RS10870
>OP_WA5_RS10895,-,WA5_RS10895,WA5_RS10890,WA5_RS10885
>OP_WA5_RS10915,-,WA5_RS10915,WA5_RS10910
>OP_WA5_RS10930,+,WA5_RS10930,WA5_RS10935,WA5_RS10940,WA5_RS10945
>OP_WA5_RS11020,-,WA5_RS11020,WA5_RS11015
>OP_WA5_RS11025,+,WA5_RS11025,WA5_RS11030
>OP_WA5_RS11045,+,WA5_RS11045,WA5_RS15800,WA5_RS11050,WA5_RS11055
>OP_WA5_RS11120,-,WA5_RS11120,WA5_RS11115,WA5_RS11110
>OP_WA5_RS11125,+,WA5_RS11125,WA5_RS11130
>OP_WA5_RS11190,-,WA5_RS11190,WA5_RS11185,WA5_RS11180
>OP_WA5_RS11210,+,WA5_RS11210,WA5_RS11215,WA5_RS11220
>OP_WA5_RS11240,-,WA5_RS11240,WA5_RS11235
>OP_WA5_RS11245,+,WA5_RS11245,WA5_RS11250
>OP_WA5_RS11300,+,WA5_RS11300,WA5_RS11305
>OP_WA5_RS11325,-,WA5_RS11325,WA5_RS11320
>OP_WA5_RS11340,-,WA5_RS11340,WA5_RS11335
>OP_WA5_RS11350,+,WA5_RS11350,WA5_RS11355
>OP_WA5_RS11370,-,WA5_RS11370,WA5_RS11365
>OP_WA5_RS11380,-,WA5_RS11380,WA5_RS11375
>OP_WA5_RS11405,-,WA5_RS11405,WA5_RS11400,WA5_RS11395,WA5_RS11390,WA5_RS11385
>OP_WA5_RS11415,-,WA5_RS11415,WA5_RS11410
>OP_WA5_RS11435,-,WA5_RS11435,WA5_RS11430
>OP_WA5_RS11455,-,WA5_RS11455,WA5_RS15820,WA5_RS15815
>OP_WA5_RS11465,+,WA5_RS11465,WA5_RS11470
>OP_WA5_RS11485,-,WA5_RS11485,WA5_RS11480,WA5_RS11475
>OP_WA5_RS11495,+,WA5_RS11495,WA5_RS11500,WA5_RS11505
>OP_WA5_RS11525,-,WA5_RS11525,WA5_RS11520,WA5_RS11515
>OP_WA5_RS11540,-,WA5_RS11540,WA5_RS11535
>OP_WA5_RS11550,+,WA5_RS11550,WA5_RS11555,WA5_RS11560,WA5_RS11565
>OP_WA5_RS11650,-,WA5_RS11650,WA5_RS11645,WA5_RS11640
>OP_WA5_RS11690,-,WA5_RS11690,WA5_RS11685,WA5_RS11680,WA5_RS11675,WA5_RS11670
>OP_WA5_RS11705,-,WA5_RS11705,WA5_RS11700,WA5_RS11695
>OP_WA5_RS11790,+,WA5_RS11790,WA5_RS11795
>OP_WA5_RS11825,-,WA5_RS11825,WA5_RS11820
>OP_WA5_RS11850,-,WA5_RS11850,WA5_RS11845
>OP_WA5_RS11865,+,WA5_RS11865,WA5_RS11870,WA5_RS11875
>OP_WA5_RS11885,-,WA5_RS11885,WA5_RS11880
>OP_WA5_RS11900,-,WA5_RS11900,WA5_RS11895
>OP_WA5_RS11905,+,WA5_RS11905,WA5_RS11910,WA5_RS11915,WA5_RS11920
>OP_WA5_RS11940,-,WA5_RS11940,WA5_RS11935,WA5_RS11930,WA5_RS11925
>OP_WA5_RS11955,-,WA5_RS11955,WA5_RS11950
>OP_WA5_RS11965,+,WA5_RS11965,WA5_RS11970,WA5_RS11975,WA5_RS11980
>OP_WA5_RS12005,-,WA5_RS12005,WA5_RS12000
>OP_WA5_RS12020,+,WA5_RS12020,WA5_RS12025,WA5_RS12030
>OP_WA5_RS12055,-,WA5_RS12055,WA5_RS12050
>OP_WA5_RS12095,+,WA5_RS12095,WA5_RS12100
>OP_WA5_RS12120,-,WA5_RS12120,WA5_RS12115,WA5_RS12110
>OP_WA5_RS12145,-,WA5_RS12145,WA5_RS12140,WA5_RS12135,WA5_RS12130,WA5_RS12125
>OP_WA5_RS12190,+,WA5_RS12190,WA5_RS12195
>OP_WA5_RS12205,-,WA5_RS12205,WA5_RS12200
>OP_WA5_RS12215,-,WA5_RS12215,WA5_RS12210
>OP_WA5_RS12265,-,WA5_RS12265,WA5_RS12260,WA5_RS12255
>OP_WA5_RS12305,+,WA5_RS12305,WA5_RS12310
>OP_WA5_RS12325,+,WA5_RS12325,WA5_RS12330
>OP_WA5_RS15830,+,WA5_RS15830,WA5_RS12385
>OP_WA5_RS12420,+,WA5_RS12420,WA5_RS12425
>OP_WA5_RS12435,-,WA5_RS12435,WA5_RS12430
>OP_WA5_RS12490,-,WA5_RS12490,WA5_RS12485
>OP_WA5_RS12560,-,WA5_RS12560,WA5_RS12555,WA5_RS12550,WA5_RS12545,WA5_RS12540
>OP_WA5_RS12565,+,WA5_RS12565,WA5_RS12570
>OP_WA5_RS12620,-,WA5_RS12620,WA5_RS12615
>OP_WA5_RS12655,-,WA5_RS12655,WA5_RS12650
>OP_WA5_RS12665,+,WA5_RS12665,WA5_RS12670
>OP_WA5_RS12690,+,WA5_RS12690,WA5_RS12695,WA5_RS12700
>OP_WA5_RS12710,+,WA5_RS12710,WA5_RS12715
>OP_WA5_RS12735,-,WA5_RS12735,WA5_RS12730
>OP_WA5_RS12745,-,WA5_RS12745,WA5_RS12740
>OP_WA5_RS12855,-,WA5_RS12855,WA5_RS12850
>OP_WA5_RS12910,-,WA5_RS12910,WA5_RS12905,WA5_RS12900
>OP_WA5_RS12990,-,WA5_RS12990,WA5_RS12985,WA5_RS12980
>OP_WA5_RS13015,-,WA5_RS13015,WA5_RS13010
>OP_WA5_RS13040,-,WA5_RS13040,WA5_RS13035,WA5_RS13030
>OP_WA5_RS13060,+,WA5_RS13060,WA5_RS13065
>OP_WA5_RS13075,-,WA5_RS13075,WA5_RS13070
>OP_WA5_RS13090,-,WA5_RS13090,WA5_RS13085,WA5_RS13080
>OP_WA5_RS13095,+,WA5_RS13095,WA5_RS13100,WA5_RS13105
>OP_WA5_RS13120,-,WA5_RS13120,WA5_RS13115
>OP_WA5_RS13160,+,WA5_RS13160,WA5_RS13165,WA5_RS13170
>OP_WA5_RS13185,+,WA5_RS13185,WA5_RS13190,WA5_RS13195
>OP_WA5_RS13215,-,WA5_RS13215,WA5_RS13210
>OP_WA5_RS13230,-,WA5_RS13230,WA5_RS13225,WA5_RS13220
>OP_WA5_RS13250,-,WA5_RS13250,WA5_RS13245,WA5_RS13240
>OP_WA5_RS13265,-,WA5_RS13265,WA5_RS13260,WA5_RS13255
>OP_WA5_RS13270,+,WA5_RS13270,WA5_RS13275,WA5_RS13280
>OP_WA5_RS13290,-,WA5_RS13290,WA5_RS13285
>OP_WA5_RS13300,+,WA5_RS13300,WA5_RS13305,WA5_RS13310
>OP_WA5_RS13340,-,WA5_RS13340,WA5_RS13335,WA5_RS13330
>OP_WA5_RS13345,+,WA5_RS13345,WA5_RS13350
>OP_WA5_RS13360,+,WA5_RS13360,WA5_RS13365
>OP_WA5_RS13385,+,WA5_RS13385,WA5_RS13390
>OP_WA5_RS15860,+,WA5_RS15860,WA5_RS13400
>OP_WA5_RS13430,+,WA5_RS13430,WA5_RS13435
>OP_WA5_RS13500,-,WA5_RS13500,WA5_RS13495,WA5_RS13490,WA5_RS13485,WA5_RS13480,WA5_RS13475,WA5_RS13470,WA5_RS13465,WA5_RS13460,WA5_RS13455
>OP_WA5_RS13515,-,WA5_RS13515,WA5_RS13510,WA5_RS13505
>OP_WA5_RS13545,-,WA5_RS13545,WA5_RS13540,WA5_RS13535,WA5_RS13530,WA5_RS13525
>OP_WA5_RS13555,-,WA5_RS13555,WA5_RS13550
>OP_WA5_RS13570,+,WA5_RS13570,WA5_RS13575
>OP_WA5_RS13615,-,WA5_RS13615,WA5_RS13610,WA5_RS13605,WA5_RS13600
>OP_WA5_RS13640,-,WA5_RS13640,WA5_RS13635,WA5_RS13630,WA5_RS13625,WA5_RS13620
>OP_WA5_RS13655,+,WA5_RS13655,WA5_RS13660,WA5_RS13665,WA5_RS13670,WA5_RS13675,WA5_RS13680
>OP_WA5_RS13690,-,WA5_RS13690,WA5_RS13685
>OP_WA5_RS13700,-,WA5_RS13700,WA5_RS13695
>OP_WA5_RS13705,+,WA5_RS13705,WA5_RS13710,WA5_RS13715,WA5_RS13720
>OP_WA5_RS13750,-,WA5_RS13750,WA5_RS13745,WA5_RS13740,WA5_RS13735
>OP_WA5_RS13755,+,WA5_RS13755,WA5_RS13760,WA5_RS13765
>OP_WA5_RS13775,-,WA5_RS13775,WA5_RS13770,WA5_RS15870
>OP_WA5_RS13795,-,WA5_RS13795,WA5_RS13790
>OP_WA5_RS13805,-,WA5_RS13805,WA5_RS13800
>OP_WA5_RS13810,-,WA5_RS13810,WA5_RS15875
>OP_WA5_RS13845,+,WA5_RS13845,WA5_RS13850
>OP_WA5_RS13875,-,WA5_RS13875,WA5_RS13870
>OP_WA5_RS13905,-,WA5_RS13905,WA5_RS13900
>OP_WA5_RS13915,+,WA5_RS13915,WA5_RS13920,WA5_RS13925,WA5_RS13930
>OP_WA5_RS13940,-,WA5_RS13940,WA5_RS13935
>OP_WA5_RS13945,+,WA5_RS13945,WA5_RS13950
>OP_WA5_RS13955,+,WA5_RS13955,WA5_RS13960
>OP_WA5_RS13975,+,WA5_RS13975,WA5_RS13980
>OP_WA5_RS13995,-,WA5_RS13995,WA5_RS13990
>OP_WA5_RS14005,-,WA5_RS14005,WA5_RS14000
>OP_WA5_RS14035,-,WA5_RS14035,WA5_RS14030,WA5_RS14025,WA5_RS14020
>OP_WA5_RS14080,-,WA5_RS14080,WA5_RS14075,WA5_RS14070,WA5_RS14065,WA5_RS14060
>OP_WA5_RS14085,-,WA5_RS14085,WA5_RS15880
>OP_WA5_RS14125,-,WA5_RS14125,WA5_RS14120,WA5_RS14115
>OP_WA5_RS14135,-,WA5_RS14135,WA5_RS14130
>OP_WA5_RS14165,-,WA5_RS14165,WA5_RS14160,WA5_RS14155
>OP_WA5_RS14180,+,WA5_RS14180,WA5_RS14185,WA5_RS14190
>OP_WA5_RS14285,+,WA5_RS14285,WA5_RS14290
>OP_WA5_RS14300,+,WA5_RS14300,WA5_RS14305
>OP_WA5_RS14315,+,WA5_RS14315,WA5_RS14320
>OP_WA5_RS14335,+,WA5_RS14335,WA5_RS14340,WA5_RS14345,WA5_RS14350,WA5_RS14355
>OP_WA5_RS14365,-,WA5_RS14365,WA5_RS14360
>OP_WA5_RS14385,-,WA5_RS14385,WA5_RS14380,WA5_RS14375
>OP_WA5_RS14415,-,WA5_RS14415,WA5_RS14410,WA5_RS14405
>OP_WA5_RS14430,-,WA5_RS14430,WA5_RS14425
>OP_WA5_RS14465,-,WA5_RS14465,WA5_RS14460,WA5_RS14455
>OP_WA5_RS14470,+,WA5_RS14470,WA5_RS14475,WA5_RS14480
>OP_WA5_RS14495,-,WA5_RS14495,WA5_RS14490
>OP_WA5_RS14540,-,WA5_RS14540,WA5_RS14535
>OP_WA5_RS14560,+,WA5_RS14560,WA5_RS14565,WA5_RS14570,WA5_RS14575,WA5_RS14580
>OP_WA5_RS14585,+,WA5_RS14585,WA5_RS14590
>OP_WA5_RS14625,-,WA5_RS14625,WA5_RS14620
>OP_WA5_RS14705,-,WA5_RS14705,WA5_RS14700
>OP_WA5_RS14735,-,WA5_RS14735,WA5_RS14730
>OP_WA5_RS14805,-,WA5_RS14805,WA5_RS14800,WA5_RS15895,WA5_RS14790
>OP_WA5_RS14870,-,WA5_RS14870,WA5_RS14865
>OP_WA5_RS14945,-,WA5_RS14945,WA5_RS14940
>OP_WA5_RS14965,-,WA5_RS14965,WA5_RS14960
>OP_WA5_RS14980,-,WA5_RS14980,WA5_RS14975,WA5_RS14970
>OP_WA5_RS14990,+,WA5_RS14990,WA5_RS14995,WA5_RS15000
>OP_WA5_RS15025,-,WA5_RS15025,WA5_RS15020,WA5_RS15015,WA5_RS15010,WA5_RS15005
>OP_WA5_RS15070,-,WA5_RS15070,WA5_RS15065
>OP_WA5_RS15160,-,WA5_RS15160,WA5_RS15155,WA5_RS15150
>OP_WA5_RS15170,+,WA5_RS15170,WA5_RS15175
>OP_WA5_RS15195,+,WA5_RS15195,WA5_RS15200,WA5_RS15205,WA5_RS15210,WA5_RS15215,WA5_RS15220
>OP_WA5_RS15230,-,WA5_RS15230,WA5_RS15225
>OP_WA5_RS15235,+,WA5_RS15235,WA5_RS15240,WA5_RS15245
>OP_WA5_RS15270,+,WA5_RS15270,WA5_RS15275
>OP_WA5_RS15320,-,WA5_RS15320,WA5_RS15315
>OP_WA5_RS15335,+,WA5_RS15335,WA5_RS15340,WA5_RS15345,WA5_RS15350
>OP_WA5_RS15410,+,WA5_RS15410,WA5_RS15415
>OP_WA5_RS15455,-,WA5_RS15455,WA5_RS15450,WA5_RS15445,WA5_RS15440
>OP_WA5_RS15460,+,WA5_RS15460,WA5_RS15465
>OP_WA5_RS15485,+,WA5_RS15485,WA5_RS15490
>OP_WA5_RS15500,-,WA5_RS15500,WA5_RS15495
>OP_WA5_RS15525,-,WA5_RS15525,WA5_RS15520,WA5_RS15920
