Operon,Orientation,Genes
>OP_CAQU_RS08635,-,CAQU_RS08635,CAQU_RS08630
>OP_CAQU_RS06955,-,CAQU_RS06955,CAQU_RS06950,CAQU_RS06945,CAQU_RS06940,CAQU_RS06935
>OP_CAQU_RS09435,+,CAQU_RS09435,CAQU_RS09440
>OP_CAQU_RS06490,-,CAQU_RS06490,CAQU_RS06485,CAQU_RS06480
>OP_CAQU_RS12060,+,CAQU_RS12060,CAQU_RS12065
>OP_CAQU_RS04900,+,CAQU_RS04900,CAQU_RS04905
>OP_CAQU_RS00940,+,CAQU_RS00940,CAQU_RS00945
>OP_CAQU_RS07550,+,CAQU_RS07550,CAQU_RS07555
>OP_CAQU_RS08415,-,CAQU_RS08415,CAQU_RS08410
>OP_CAQU_RS06880,-,CAQU_RS06880,CAQU_RS06875
>OP_CAQU_RS08055,-,CAQU_RS08055,CAQU_RS08050
>OP_CAQU_RS01000,-,CAQU_RS01000,CAQU_RS00995,CAQU_RS00990,CAQU_RS00985,CAQU_RS00980,CAQU_RS00975
>OP_CAQU_RS00135,-,CAQU_RS00135,CAQU_RS00130
>OP_CAQU_RS02915,+,CAQU_RS02915,CAQU_RS02920
>OP_CAQU_RS04590,-,CAQU_RS04590,CAQU_RS04585
>OP_CAQU_RS00655,+,CAQU_RS00655,CAQU_RS00660
>OP_CAQU_RS00470,+,CAQU_RS00470,CAQU_RS00475
>OP_CAQU_RS07705,-,CAQU_RS07705,CAQU_RS07700
>OP_CAQU_RS09005,-,CAQU_RS09005,CAQU_RS09000
>OP_CAQU_RS05370,-,CAQU_RS05370,CAQU_RS05365,CAQU_RS05360
>OP_CAQU_RS04925,-,CAQU_RS04925,CAQU_RS04920,CAQU_RS04915
>OP_CAQU_RS10790,-,CAQU_RS10790,CAQU_RS12455
>OP_CAQU_RS03145,+,CAQU_RS03145,CAQU_RS03150,CAQU_RS03155
>OP_CAQU_RS03005,+,CAQU_RS03005,CAQU_RS03010
>OP_CAQU_RS07455,-,CAQU_RS07455,CAQU_RS07450
>OP_CAQU_RS09450,-,CAQU_RS09450,CAQU_RS09445
>OP_CAQU_RS03930,-,CAQU_RS03930,CAQU_RS03925
>OP_CAQU_RS10505,+,CAQU_RS10505,CAQU_RS10510
>OP_CAQU_RS05470,+,CAQU_RS05470,CAQU_RS05475
>OP_CAQU_RS06105,+,CAQU_RS06105,CAQU_RS06110
>OP_CAQU_RS10895,+,CAQU_RS10895,CAQU_RS10900
>OP_CAQU_RS05340,+,CAQU_RS05340,CAQU_RS05345
>OP_CAQU_RS09770,-,CAQU_RS09770,CAQU_RS09765
>OP_CAQU_RS05230,+,CAQU_RS05230,CAQU_RS05235
>OP_CAQU_RS04235,+,CAQU_RS04235,CAQU_RS04240
>OP_CAQU_RS11485,-,CAQU_RS11485,CAQU_RS11480
>OP_CAQU_RS11365,+,CAQU_RS11365,CAQU_RS11370
>OP_CAQU_RS07955,-,CAQU_RS07955,CAQU_RS07950
>OP_CAQU_RS12325,+,CAQU_RS12325,CAQU_RS12330
>OP_CAQU_RS07435,-,CAQU_RS07435,CAQU_RS07430
>OP_CAQU_RS03625,+,CAQU_RS03625,CAQU_RS03630
>OP_CAQU_RS07050,-,CAQU_RS07050,CAQU_RS07045
>OP_CAQU_RS06590,-,CAQU_RS06590,CAQU_RS06585
>OP_CAQU_RS04955,+,CAQU_RS04955,CAQU_RS04960
>OP_CAQU_RS04730,-,CAQU_RS04730,CAQU_RS04725
>OP_CAQU_RS07610,-,CAQU_RS07610,CAQU_RS07605
>OP_CAQU_RS07150,+,CAQU_RS07150,CAQU_RS07155
>OP_CAQU_RS12215,+,CAQU_RS12215,CAQU_RS12220
>OP_CAQU_RS01620,+,CAQU_RS01620,CAQU_RS01625
>OP_CAQU_RS07470,-,CAQU_RS07470,CAQU_RS07465
>OP_CAQU_RS11080,+,CAQU_RS11080,CAQU_RS11085
>OP_CAQU_RS00520,+,CAQU_RS00520,CAQU_RS00525
>OP_CAQU_RS10760,+,CAQU_RS10760,CAQU_RS10765
>OP_CAQU_RS00030,+,CAQU_RS00030,CAQU_RS00035
>OP_CAQU_RS09205,-,CAQU_RS09205,CAQU_RS09200
